Medzilaborce;Presovsky kraj;9265;3810;41.12;3810;3774;9339;3351;35.88;3348;3297
Snina;Presovsky kraj;29508;11195;37.93;11190;11136;29568;9637;32.59;9637;9475
Kezmarok;Presovsky kraj;52474;22579;43.02;22575;22403;52236;16606;31.79;16604;15924
Levoca;Presovsky kraj;25706;11625;45.22;11623;11551;25596;9392;36.69;9392;9050
Poprad;Presovsky kraj;84173;42696;50.72;42679;42434;83073;34834;41.93;34828;33891
Presov;Presovsky kraj;133786;68121;50.91;68108;67741;133071;57634;43.31;57627;55864
Sabinov;Presovsky kraj;43703;19896;45.52;19894;19719;43559;16174;37.13;16174;15579
Stara ¼ubovna;Presovsky kraj;39869;17718;44.44;17713;17575;39741;14470;36.41;14466;13934
Stropkov;Presovsky kraj;16141;7395;45.81;7395;7336;16102;6478;40.23;6478;6315
Svidnik;Presovsky kraj;25789;11655;45.19;11655;11591;25608;9744;38.05;9744;9509
Vranov nad Toplou;Presovsky kraj;60693;24673;40.65;24664;24510;60713;20190;33.25;20178;19707
Kosice I;Kosicky kraj;54540;27548;50.5;27541;27403;54133;24320;44.92;24315;23912
Kosice II;Kosicky kraj;65197;30123;46.2;30113;29977;64778;26481;40.87;26476;25992
Kosice III;Kosicky kraj;23991;10956;45.66;10951;10891;23883;9661;40.45;9661;9487
Kosice IV;Kosicky kraj;47660;23514;49.33;23509;23410;47452;20897;44.03;20896;20497
Kosice - okolie;Kosicky kraj;96611;41016;42.45;41002;40680;96687;33640;34.79;33635;32929
Michalovce;Kosicky kraj;86702;32803;37.83;32800;32574;85994;27176;31.6;27174;26667
Sobrance;Kosicky kraj;17913;7700;42.98;7699;7658;17895;6457;36.08;6456;6327
Roznava;Kosicky kraj;47830;18027;37.68;18025;17886;47786;14780;30.92;14780;14493
Gelnica;Kosicky kraj;23915;9225;38.57;9221;9161;23877;7371;30.87;7371;7175
Spisska Nova Ves;Kosicky kraj;73532;31943;43.44;31942;31752;73318;26107;35.6;26106;25376
Trebisov;Kosicky kraj;81882;27454;33.52;27448;27177;81895;22623;27.62;22623;22129
