Zuzana;Caputova;18921
Maros;Sefcovic;4926
Zuzana;Caputova;6839
Maros;Sefcovic;2475
Zuzana;Caputova;28874
Maros;Sefcovic;9055
Zuzana;Caputova;5914
Maros;Sefcovic;2101
Zuzana;Caputova;15626
Maros;Sefcovic;4817
Zuzana;Caputova;7824
Maros;Sefcovic;3184
Zuzana;Caputova;1943
Maros;Sefcovic;699
Zuzana;Caputova;703
Maros;Sefcovic;174
Zuzana;Caputova;5612
Maros;Sefcovic;1770
Zuzana;Caputova;11320
Maros;Sefcovic;4831
Zuzana;Caputova;13075
Maros;Sefcovic;4337
Zuzana;Caputova;2558
Maros;Sefcovic;1145
Zuzana;Caputova;2157
Maros;Sefcovic;643
Zuzana;Caputova;663
Maros;Sefcovic;152
Zuzana;Caputova;1109
Maros;Sefcovic;271
Zuzana;Caputova;35735
Maros;Sefcovic;13682
Zuzana;Caputova;1743
Maros;Sefcovic;382
Zuzana;Caputova;300
Maros;Sefcovic;80
Zuzana;Caputova;467
Maros;Sefcovic;343
Zuzana;Caputova;367
Maros;Sefcovic;186
Zuzana;Caputova;362
Maros;Sefcovic;216
Zuzana;Caputova;397
Maros;Sefcovic;190
Zuzana;Caputova;380
Maros;Sefcovic;230
Zuzana;Caputova;499
Maros;Sefcovic;232
Zuzana;Caputova;882
Maros;Sefcovic;255
Zuzana;Caputova;4244
Maros;Sefcovic;2327
Zuzana;Caputova;226
Maros;Sefcovic;134
Zuzana;Caputova;835
Maros;Sefcovic;208
Zuzana;Caputova;178
Maros;Sefcovic;128
Zuzana;Caputova;205
Maros;Sefcovic;90
Zuzana;Caputova;165
Maros;Sefcovic;142
Zuzana;Caputova;496
Maros;Sefcovic;297
Zuzana;Caputova;728
Maros;Sefcovic;400
Zuzana;Caputova;411
Maros;Sefcovic;249
Zuzana;Caputova;339
Maros;Sefcovic;246
Zuzana;Caputova;3907
Maros;Sefcovic;1180
Zuzana;Caputova;127
Maros;Sefcovic;118
Zuzana;Caputova;668
Maros;Sefcovic;444
Zuzana;Caputova;379
Maros;Sefcovic;364
Zuzana;Caputova;30
Maros;Sefcovic;14
Zuzana;Caputova;306
Maros;Sefcovic;166
Zuzana;Caputova;419
Maros;Sefcovic;403
Zuzana;Caputova;879
Maros;Sefcovic;409
Zuzana;Caputova;491
Maros;Sefcovic;259
Zuzana;Caputova;592
Maros;Sefcovic;313
Zuzana;Caputova;606
Maros;Sefcovic;308
Zuzana;Caputova;328
Maros;Sefcovic;178
Zuzana;Caputova;280
