Bratislavsky kraj;575978;339136;58.88;338979;337558;574291;313935;54.66;313836;309118
Trnavsky kraj;467546;220540;47.16;220450;219081;467840;190871;40.79;190843;187568
Trenciansky kraj;484944;259522;53.51;259442;257815;484954;222276;45.83;222245;217519
Nitriansky kraj;568302;247921;43.62;247877;246475;567827;212639;37.44;212628;209151
Zilinsky kraj;562538;301694;53.63;301616;299777;561539;249227;44.38;249193;242896
Banskobystricky kraj;518775;237457;45.77;237386;235718;517370;197545;38.18;197506;193390
Presovsky kraj;631177;292280;46.3;292211;290371;628364;241411;38.41;241371;234359
Kosicky kraj;619773;260309;42;260251;258569;617698;219513;35.53;219493;214984
