Igram;Senec;Bratislavsky kraj;480;267;55.62;267;555487
Ivanka pri Dunaji;Senec;Bratislavsky kraj;5308;3416;64.35;3407;507938
Kalinkovo;Senec;Bratislavsky kraj;1126;697;61.90;697;507997
Kaplna;Senec;Bratislavsky kraj;703;399;56.75;399;555495
Kostolna pri Dunaji;Senec;Bratislavsky kraj;546;337;61.72;337;503851
Kralova pri Senci;Senec;Bratislavsky kraj;1612;1002;62.15;1002;503894
Malinovo;Senec;Bratislavsky kraj;2736;1751;63.99;1751;508071
Miloslavov;Senec;Bratislavsky kraj;2336;1634;69.94;1633;508098
Most pri Bratislave;Senec;Bratislavsky kraj;2644;1648;62.32;1648;508110
Nova Dedinka;Senec;Bratislavsky kraj;2150;1295;60.23;1295;508136
Novy Svet;Senec;Bratislavsky kraj;82;56;68.29;56;582549
Reca;Senec;Bratislavsky kraj;1255;658;52.43;658;503983
Rovinka;Senec;Bratislavsky kraj;3268;2054;62.85;2054;508209
Senec;Senec;Bratislavsky kraj;15285;8200;53.64;8199;508217
Tomasov;Senec;Bratislavsky kraj;2124;1163;54.75;1163;508276
Turen;Senec;Bratislavsky kraj;920;521;56.63;521;508284
Velky Biel;Senec;Bratislavsky kraj;2164;1190;54.99;1190;508292
Vlky;Senec;Bratislavsky kraj;372;212;56.98;212;508331
Zalesie;Senec;Bratislavsky kraj;1529;1079;70.56;1079;555509
Bac;Dunajska Streda;Trnavsky kraj;472;248;52.54;248;501441
Baka;Dunajska Streda;Trnavsky kraj;973;295;30.31;293;501450
Balon;Dunajska Streda;Trnavsky kraj;619;156;25.20;156;501468
Bellova Ves;Dunajska Streda;Trnavsky kraj;256;135;52.73;135;555517
Blahova;Dunajska Streda;Trnavsky kraj;308;167;54.22;167;501484
Blatna na Ostrove;Dunajska Streda;Trnavsky kraj;766;322;42.03;322;501492
Bodiky;Dunajska Streda;Trnavsky kraj;286;135;47.20;135;503461
Bohelov;Dunajska Streda;Trnavsky kraj;296;102;34.45;102;501506
Cakany;Dunajska Streda;Trnavsky kraj;504;269;53.37;269;501514
Cenkovce;Dunajska Streda;Trnavsky kraj;902;367;40.68;367;580554
Cilizska Radvan;Dunajska Streda;Trnavsky kraj;986;184;18.66;184;501531
Dobrohosù;Dunajska Streda;Trnavsky kraj;433;216;49.88;216;501549
Dolny Bar;Dunajska Streda;Trnavsky kraj;597;198;33.16;197;501557
Dolny Stal;Dunajska Streda;Trnavsky kraj;1624;409;25.18;409;501611
Dunajska Streda;Dunajska Streda;Trnavsky kraj;19293;6041;31.31;6034;501433
Dunajsky Klatov;Dunajska Streda;Trnavsky kraj;578;149;25.77;149;555541
Gabcikovo;Dunajska Streda;Trnavsky kraj;4332;1204;27.79;1204;501573
Holice;Dunajska Streda;Trnavsky kraj;1770;602;34.01;602;501581
Horna Poton;Dunajska Streda;Trnavsky kraj;1731;601;34.71;601;501590
Horne Myto;Dunajska Streda;Trnavsky kraj;782;159;20.33;159;555568
Horny Bar;Dunajska Streda;Trnavsky kraj;1053;438;41.59;438;501603
Hubice;Dunajska Streda;Trnavsky kraj;526;273;51.90;273;501620
Hviezdoslavov;Dunajska Streda;Trnavsky kraj;1379;886;64.24;886;501638
Jahodna;Dunajska Streda;Trnavsky kraj;1398;339;24.24;339;501654
Janiky;Dunajska Streda;Trnavsky kraj;755;414;54.83;414;501662
Jurova;Dunajska Streda;Trnavsky kraj;397;140;35.26;140;501671
Klucovec;Dunajska Streda;Trnavsky kraj;311;92;29.58;92;501689
Kostolne Kracany;Dunajska Streda;Trnavsky kraj;1160;436;37.58;436;501697
Kralovicove Kracany;Dunajska Streda;Trnavsky kraj;899;293;32.59;293;501701
Kutniky;Dunajska Streda;Trnavsky kraj;1155;448;38.78;448;501719
Kvetoslavov;Dunajska Streda;Trnavsky kraj;1262;799;63.31;799;501727
Kyselica;Dunajska Streda;Trnavsky kraj;160;72;45.00;72;580597
Lehnice;Dunajska Streda;Trnavsky kraj;2315;888;38.35;886;501735
Luc na Ostrove;Dunajska Streda;Trnavsky kraj;614;217;35.34;217;501743
Macov;Dunajska Streda;Trnavsky kraj;325;195;60.00;195;555606
Mad;Dunajska Streda;Trnavsky kraj;466;178;38.19;178;555649
Male Dvorniky;Dunajska Streda;Trnavsky kraj;941;386;41.02;386;555665
Medvedov;Dunajska Streda;Trnavsky kraj;483;129;26.70;129;501760
Mierovo;Dunajska Streda;Trnavsky kraj;361;202;55.95;202;501778
Michal na Ostrove;Dunajska Streda;Trnavsky kraj;820;316;38.53;316;501786
Narad;Dunajska Streda;Trnavsky kraj;540;193;35.74;193;501930
Novy Zivot;Dunajska Streda;Trnavsky kraj;1836;674;36.71;674;501808
Ohrady;Dunajska Streda;Trnavsky kraj;1120;299;26.69;299;501816
Okoc;Dunajska Streda;Trnavsky kraj;3100;605;19.51;605;501824
Oldza;Dunajska Streda;Trnavsky kraj;403;210;52.10;210;501832
Orechova Poton;Dunajska Streda;Trnavsky kraj;1463;456;31.16;456;501859
Padan;Dunajska Streda;Trnavsky kraj;740;186;25.13;186;501867
Patas;Dunajska Streda;Trnavsky kraj;658;102;15.50;102;501883
Potonske Luky;Dunajska Streda;Trnavsky kraj;229;87;37.99;87;582522
Povoda;Dunajska Streda;Trnavsky kraj;803;272;33.87;272;555720
Rohovce;Dunajska Streda;Trnavsky kraj;922;400;43.38;399;501891
Sap;Dunajska Streda;Trnavsky kraj;441;121;27.43;121;501875
Samorin;Dunajska Streda;Trnavsky kraj;10981;5058;46.06;5058;501905
Stvrtok na Ostrove;Dunajska Streda;Trnavsky kraj;1437;631;43.91;631;501913
Topolniky;Dunajska Streda;Trnavsky kraj;2578;721;27.96;721;501921
Trhova Hradska;Dunajska Streda;Trnavsky kraj;1860;505;27.15;505;555576
Trnavka;Dunajska Streda;Trnavsky kraj;418;196;46.88;196;501956
Trstena na Ostrove;Dunajska Streda;Trnavsky kraj;498;176;35.34;176;501964
Velka Paka;Dunajska Streda;Trnavsky kraj;776;420;54.12;420;501972
